Day,Subject,Session,Time,Response,Reward,Trial
2,2,weathertaskL,3471,1,1,38
2,2,weathertaskL,3513,1,0,39
2,2,weathertaskL,3543,1,0,40
2,2,weathertaskL,3572,1,1,41
2,2,weathertaskL,3624,1,1,42
2,2,weathertaskL,3685,1,1,43
2,2,weathertaskL,3757,1,0,44
2,2,weathertaskL,3785,1,0,45
2,2,weathertaskL,3928,1,1,46
2,2,weathertaskL,4168,0,0,47
2,2,weathertaskL,4337,1,1,48
2,2,weathertaskL,4488,1,1,49
2,2,weathertaskL,4496,1,1,50
2,2,weathertaskL,4607,1,1,51
2,2,weathertaskL,4655,1,1,52
2,2,weathertaskL,4788,1,1,53
2,2,weathertaskL,4819,1,1,54
2,2,weathertaskL,4933,-1,0,55
2,2,weathertaskL,4961,-1,0,56
2,2,weathertaskL,4981,-1,1,57
2,2,weathertaskL,4994,-1,0,58
2,2,weathertaskL,5024,-1,0,59
2,2,weathertaskL,5037,-1,0,60
2,2,weathertaskL,5059,-1,0,61
2,2,weathertaskL,5229,-1,0,62
2,2,weathertaskL,5236,-1,0,63
2,2,weathertaskL,5243,-1,0,64
2,2,weathertaskL,5379,1,1,65
2,2,weathertaskL,5516,1,1,66
2,2,weathertaskL,5655,1,1,67
2,2,weathertaskL,5792,1,1,68
2,2,weathertaskL,5987,1,0,69
2,2,weathertaskL,6152,-1,1,70
2,2,weathertaskL,6313,-1,0,71
2,2,weathertaskL,6535,1,1,72
2,2,weathertaskL,6775,0,0,73
2,2,weathertaskL,7000,1,1,74
2,2,weathertaskL,7240,0,0,75
2,2,weathertaskL,7480,0,0,76
2,2,weathertaskL,7720,0,0,77
2,2,weathertaskL,7956,-1,0,78
2,2,weathertaskL,8196,0,0,79
2,2,weathertaskL,8370,1,1,80
2,2,weathertaskL,8610,0,0,81
2,2,weathertaskL,8735,-1,0,82
2,2,weathertaskL,8912,1,0,83
2,2,weathertaskL,9136,1,0,84
2,2,weathertaskL,9314,1,1,85
2,2,weathertaskL,9530,1,1,86
2,2,weathertaskL,9664,-1,0,87
2,2,weathertaskL,9815,-1,0,88
2,2,weathertaskL,9977,1,0,89
2,2,weathertaskL,10217,0,1,90
2,2,weathertaskL,10372,1,1,91
2,2,weathertaskL,10572,1,0,92
2,2,weathertaskL,10812,0,0,93
2,2,weathertaskL,11011,1,1,94
2,2,weathertaskL,11251,0,0,95
2,2,weathertaskL,11252,1,1,96
2,2,weathertaskL,11296,1,1,97
2,2,weathertaskL,11536,0,0,98
2,2,weathertaskL,11765,-1,0,99
3,2,weathertaskL,120,0,0,0
3,2,weathertaskL,360,0,0,1
3,2,weathertaskL,600,0,0,2
3,2,weathertaskL,773,1,1,3
3,2,weathertaskL,1013,0,0,4
3,2,weathertaskL,1253,0,0,5
3,2,weathertaskL,1419,1,1,6
3,2,weathertaskL,1517,-1,0,7
3,2,weathertaskL,1612,1,1,8
3,2,weathertaskL,1678,-1,1,9
3,2,weathertaskL,1736,1,1,10
3,2,weathertaskL,1792,-1,0,11
3,2,weathertaskL,1826,1,1,12
3,2,weathertaskL,1961,1,0,13
3,2,weathertaskL,2020,1,1,14
3,2,weathertaskL,2098,1,1,15
3,2,weathertaskL,2338,0,1,16
3,2,weathertaskL,2578,0,0,17
3,2,weathertaskL,2758,1,0,18
3,2,weathertaskL,2786,1,1,19
3,2,weathertaskL,2986,1,0,20
3,2,weathertaskL,3226,0,0,21
3,2,weathertaskL,3383,-1,0,22
3,2,weathertaskL,3393,-1,0,23
3,2,weathertaskL,3464,-1,0,24
3,2,weathertaskL,3482,-1,0,25
3,2,weathertaskL,3522,-1,0,26
3,2,weathertaskL,3536,-1,0,27
3,2,weathertaskL,3561,-1,1,28
3,2,weathertaskL,3788,1,1,29
3,2,weathertaskL,4028,0,0,30
3,2,weathertaskL,4268,0,0,31
3,2,weathertaskL,4489,1,1,32
3,2,weathertaskL,4552,1,1,33
3,2,weathertaskL,4599,1,1,34
3,2,weathertaskL,4643,1,1,35
3,2,weathertaskL,4677,1,1,36
3,2,weathertaskL,4716,1,0,37
3,2,weathertaskL,4795,1,1,38
3,2,weathertaskL,4841,1,1,39
